name_gpu,num_gpu,alexnet,inception3,inception4,resnet152,resnet50,vgg16
RTX 3080,1,960,24,28,32,48,48
2x RTX 3080,2,1920,48,56,64,96,96
3x RTX 3090,3,5760,144,168,192,288,288
A100 40GB PCIe,1,3584,360,112,200,448,448
2x A100 40GB PCIe,2,7168,720,224,400,896,896
4x A100 40GB PCIe,4,14336,1280,448,800,1792,1792
8x A100 40GB PCIe,8,28672,2880,896,1600,3584,3584
RTX A6000,1,4096,512,128,256,512,512
2x RTX A6000,2,8192,1024,256,512,1024,1024
4x RTX A6000,4,16384,2048,512,1024,2048,2048
8x RTX A6000,8,32768,4096,1024,2048,4096,4096
RTX 3090,1,1920,48,56,64,96,96
2x RTX 3090,2,3840,96,112,128,192,192
4x RTX 3090,4,7680,192,224,256,384,384
8x RTX 3090,8,15360,384,448,512,768,768
2x RTX 2080Ti NVLink,2,2048,256,64,128,256,240
4x RTX 2080Ti NVLink,4,4096,512,128,256,512,480
8x RTX 2080Ti NVLink,8,8192,1024,256,512,1024,960
RTX 2080Ti,1,1024,128,32,64,128,120
2x RTX 2080Ti,2,2048,256,64,128,256,240
4x RTX 2080Ti,4,4096,512,128,256,512,480
8x RTX 2080Ti,8,8192,1024,256,512,1024,960
2x RTX 8000 NVLink,2,8192,1024,256,512,1024,1024
4x RTX 8000 NVLink,4,16384,2048,512,1024,2048,2048
8x RTX 8000 NVLink,8,32768,4096,1024,2048,4096,4096
RTX 8000,1,4096,512,128,256,512,512
2x RTX 8000,2,8192,1024,256,512,1024,1024
4x RTX 8000,4,16384,2048,512,1024,2048,2048
8x RTX 8000,8,32768,4096,1024,2048,4096,4096
Lambda Cloud — RTX A6000,1,4096,512,128,256,512,512
Lambda Cloud — 2x RTX A6000,2,8192,1024,256,512,1024,1024
Lambda Cloud — 4x RTX A6000,4,16384,2048,512,1024,2048,2048
V100 32GB,1,3072,384,96,192,384,384
8x V100 32GB,8,24576,3072,768,1536,3072,3072
RTX 2080 SUPER MAX-Q,1,768,96,24,64,96,96
GTX 1080Ti,1,1024,128,32,64,128,128
RTX 2070 MAX-Q,1,768,96,24,64,96,96
RTX 2080 MAX-Q,1,768,96,24,64,96,96
